placed_at_utc,model,ticker,side,count,price_cents,cost_usd,order_id,outcome
2026-07-08T20:53:32+00:00,weather,KXHIGHLAX-26JUL09-B77.5,no,1,62,0.62,468cf59f-e531-4d84-9a04-a695e6c143bd,
2026-07-08T20:53:33+00:00,weather,KXHIGHAUS-26JUL09-B96.5,no,1,62,0.62,797f3b6a-74e8-4296-9588-2385e9cb256b,
2026-07-08T20:53:33+00:00,weather,KXHIGHAUS-26JUL08-B97.5,no,1,82,0.82,866d7d87-2f8a-43f6-849e-29d6dce8d591,
2026-07-08T21:56:26+00:00,weather,KXHIGHDEN-26JUL09-B90.5,no,1,69,0.69,83b83b88-4091-4b30-8d22-989c9fc27694,
2026-07-08T21:56:26+00:00,weather,KXHIGHDEN-26JUL08-T93,no,1,74,0.74,044dbe11-4dc8-42cf-a486-866c00d941a6,
2026-07-08T21:56:26+00:00,weather,KXHIGHLAX-26JUL09-B77.5,no,1,67,0.67,f1e5e512-9ca5-4661-a5c5-073bac5a701e,
2026-07-08T21:56:27+00:00,weather,KXHIGHAUS-26JUL08-B97.5,no,1,78,0.78,26189a69-739c-49c7-84d7-4dd80accf747,
2026-07-08T21:56:27+00:00,nowcast,KXHIGHCHI-26JUL08-B88.5,no,11,8,0.88,a0cfcc9c-491b-4614-b780-1ddd904d24f0,
2026-07-08T22:56:21+00:00,weather,KXHIGHCHI-26JUL09-B84.5,no,1,64,0.64,33b5ea16-0d72-43cf-a40a-914c594597d5,
2026-07-08T22:56:21+00:00,weather,KXHIGHDEN-26JUL09-B90.5,no,1,69,0.69,01160be5-dcfc-481f-9db2-5e392cf4e02f,
2026-07-08T22:56:21+00:00,nowcast,KXHIGHCHI-26JUL08-B88.5,no,12,6,0.72,ae7f0b4e-c275-4328-98c0-22925cf57ade,
2026-07-08T23:59:57+00:00,weather,KXHIGHDEN-26JUL09-B90.5,no,1,68,0.68,3462dc3b-de76-449a-b690-23cbe1072d5d,
2026-07-08T23:59:57+00:00,nowcast,KXHIGHCHI-26JUL08-B88.5,no,73,1,0.73,338ebe13-061e-4832-b6ad-a7cde36a3228,
2026-07-10T12:58:37+00:00,sports,KXMLBTOTAL-26JUL101905KCBAL-9,yes,1,62,0.62,cd7e25d7-aa2d-4c42-a5b5-649cc172e8c6,
2026-07-10T12:58:37+00:00,sports,KXMLBTOTAL-26JUL102005HOUTEX-7,yes,1,65,0.65,529e73da-d338-4fec-8cc2-fdba4c63d5b8,
2026-07-10T22:22:13+00:00,nrfi,KXMLBRFI-26JUL101905KCBAL,no,2,45,0.90,5c318c38-5f72-4aaa-abba-5b7d411680af,
2026-08-06T14:28:44+00:00,favorite,KXUSEDCARCPI-26AUG12-T178.50,yes,2,86,1.72,1649896c-2f59-40d5-ba1f-d3aa5f3ae0d6,
2026-08-06T14:28:44+00:00,favorite,KXCPINDEX-26AUG12-T333.5,yes,2,85,1.70,d332e315-5494-4d69-b816-8fca905534cf,
2026-08-06T14:28:44+00:00,favorite,KXMC-MAR-60,yes,2,94,1.88,02faee08-fd3a-4881-abae-e858ad53f5e8,
2026-08-06T14:28:44+00:00,favorite,KXPOWERKWH-26AUG12-T19.4,yes,2,96,1.92,e5f0e84e-d93b-47d7-a97a-cc17b0a5305e,
2026-08-07T03:26:04+00:00,favorite,KXUSPPIYOY-26AUG13-T5.8,no,3,85,2.55,631d1e61-c534-47ba-9cd6-1058f618879b,
2026-08-07T03:26:04+00:00,favorite,KXARMOMINF-26AUG13-T1.2,yes,2,94,1.88,deb609f4-5afd-47a7-8e94-6c2ed2fb6f47,
2026-08-07T03:26:04+00:00,favorite,KXMC-MAR-60,yes,2,95,1.90,7011c052-dc9e-4658-b327-7b82e38d1ad2,
2026-08-07T05:12:23+00:00,favorite,KXARMOMINF-26AUG13-T1.4,yes,2,94,1.88,3247e989-e150-4430-8cea-2b054f3b2acb,
2026-08-07T08:10:11+00:00,favorite,KXBIGBROTHERELIMINATION-26AUG13-TAY,no,3,93,2.79,01718907-7297-4575-b48d-cb33f82814af,
2026-08-07T10:47:19+00:00,favorite,KXCOMPANYACTIONTTWO-26-26AUG14,no,3,85,2.55,6695124f-d29f-4d81-a329-bec46f698719,
2026-08-07T14:09:00+00:00,favorite,KXDIMAYORGAME-26AUG10JUNPER-PER,no,1,91,0.91,cced5005-0e7d-4b5d-ab19-9d936757f2f0,
2026-08-07T17:24:22+00:00,sports,KXWNBA-26-ATL,yes,30,8,2.40,3eccb660-d606-4aa9-98d1-54321116fd91,
2026-08-07T17:24:22+00:00,sports,KXMLBTOTAL-26AUG072010CHCKC-12,no,3,67,2.01,780a1890-22f9-431b-a195-017e6487ded8,
2026-08-07T17:24:22+00:00,sports,KXMLBTOTAL-26AUG071905ATLNYY-11,no,3,71,2.13,680f0c83-f73e-42f5-9017-b9f218cd961b,
2026-08-08T01:37:02+00:00,sports,KXMLBTOTAL-26AUG082010LADAZ-11,no,3,66,1.98,fe424e7d-947d-4181-8079-4021d6bfceef,
2026-08-08T01:37:02+00:00,sports,KXMLBTOTAL-26AUG081610LAAMIA-11,no,3,71,2.13,a24c210b-7849-4162-9d8f-e8bb124a73f1,
2026-08-09T01:15:52+00:00,sports,KXMLBTOTAL-26AUG091410CHCKC-13,no,13,69,8.97,af843bba-861d-47bb-9c1f-c9c0a1c7978d,
2026-08-09T01:15:52+00:00,sports,KXMLBTOTAL-26AUG091340LAAMIA-11,no,13,67,8.71,0ea94190-27a7-4eda-9b5f-f5068ef2f5f6,
2026-08-11T23:34:05+00:00,sports,KXMLBTOTAL-26AUG121340BALMIN-11,no,12,66,7.92,8a685d2d-725a-4726-9410-4898e715de9b,
2026-08-12T01:23:37+00:00,sports,KXMLBTOTAL-26AUG112138TEXLAA-12,no,12,72,8.64,f6fca8db-871c-4ed8-bf8c-8311aad26b26,
2026-08-12T02:27:20+00:00,sports,KXMLBGAME-26AUG122210TEXLAA-LAA,yes,16,44,7.04,53578242-e3fd-4eee-b39f-ba8042316b1a,
2026-08-12T02:27:20+00:00,sports,KXMLBTOTAL-26AUG121610MILSD-11,no,3,71,2.13,b6a9b7f5-f40f-475a-a86d-86c7cf9fd13d,
2026-08-13T01:25:28+00:00,sports,KXMLBTOTAL-26AUG122210KCLAD-8,yes,15,63,9.45,48d173f4-e724-4c8a-99ba-7fda992f34c4,
