scanned_at_utc,event,ticker,side,price_cents,model_prob,ev_cents,outcome,clv_cents
2026-08-15T14:16:53+00:00,KXMLBTOTAL-26AUG152138KCLAA,KXMLBTOTAL-26AUG151840MIACIN-12,no,69,0.778,7.3,loss (-69c),-68
2026-08-15T14:16:53+00:00,KXMLBTOTAL-26AUG152138KCLAA,KXMLBTOTAL-26AUG151910PHIMIN-11,no,71,0.786,6.2,win (+29c),+28
2026-08-16T14:17:08+00:00,KXMLBTOTAL-26AUG161340CWSDET,KXMLBTOTAL-26AUG161340CWSDET-11,no,71,0.797,7.3,loss (-71c),-70
2026-08-16T14:17:08+00:00,KXMLBTOTAL-26AUG161340CWSDET,KXMLBTOTAL-26AUG161340MIACIN-11,no,65,0.735,6.9,win (+35c),+34
2026-08-16T14:17:08+00:00,KXMLBTOTAL-26AUG161340CWSDET,KXMLBTOTAL-26AUG161335BOSPIT-11,no,70,0.779,6.4,loss (-70c),-69
2026-08-16T14:17:08+00:00,KXMLBTOTAL-26AUG161340CWSDET,KXMLBTOTAL-26AUG161410PHIMIN-12,no,69,0.767,6.2,loss (-69c),-68
2026-08-17T14:21:37+00:00,KXMLBTOTAL-26AUG171905DETPIT,KXMLBTOTAL-26AUG171905DETPIT-11,no,70,0.792,7.7,loss (-70c),-69
2026-08-17T14:21:37+00:00,KXMLBTOTAL-26AUG171905DETPIT,KXMLBTOTAL-26AUG171940ATLMIN-12,no,69,0.779,7.4,win (+31c),+30
2026-08-17T14:21:37+00:00,KXMLBTOTAL-26AUG171905DETPIT,KXMLBTOTAL-26AUG171910SDNYM-11,no,71,0.793,6.9,win (+29c),+28
2026-08-17T14:21:37+00:00,KXMLBTOTAL-26AUG171905DETPIT,KXMLBTOTAL-26AUG172040LADCOL-9,yes,69,0.774,6.9,win (+31c),+30
2026-08-18T14:27:16+00:00,KXMLBTOTAL-26AUG182040LADCOL,KXMLBTOTAL-26AUG182040LADCOL-10,yes,67,0.759,7.4,win (+33c),+32
2026-08-18T14:27:16+00:00,KXMLBTOTAL-26AUG182040LADCOL,KXMLBTOTAL-26AUG182040LADCOL-14,no,65,0.735,6.9,win (+35c),+34
2026-08-18T14:27:16+00:00,KXMLBTOTAL-26AUG182040LADCOL,KXMLBTOTAL-26AUG181840SFCLE-11,no,71,0.793,6.9,win (+29c),+28
2026-08-18T14:27:16+00:00,KXMLBTOTAL-26AUG182040LADCOL,KXMLBTOTAL-26AUG181840MIAPHI-11,no,71,0.786,6.2,win (+29c),+28
2026-08-18T15:01:46+00:00,KXMLBTOTAL-26AUG182040LADCOL,KXMLBTOTAL-26AUG182040LADCOL-10,yes,67,0.759,7.4,win (+33c),+32
2026-08-23T17:15:38+00:00,KXMLBTOTAL-26AUG231510CLECOL,KXMLBTOTAL-26AUG231510CLECOL-10,yes,60,0.671,5.4,loss (-60c),-59
2026-08-27T19:13:47+00:00,KXMLBTOTAL-26AUG271915LADATL,KXMLBTOTAL-26AUG271915LADATL-8,yes,34,0.422,6.6,loss (-34c),-33
